# Derived from VarCon 2020.12.07 at crate-ci/typos commit 5e38bf262baaf477ca9f241b3a7cd3d277fd7df8.
# Includes unambiguous, verified spelling pairs through SCOWL level 70. Source and target are tab-separated.
abettor	abetter
unrivaled	unrivalled
unrivaledder	unrivalledder
unrivaleddest	unrivalleddest
unsavorier	unsavourier
unsavories	unsavouries
unsavoriest	unsavouriest
unsavoriness	unsavouriness
unsavoriness's	unsavouriness's
unsavorinesses	unsavourinesses
unsavory	unsavoury
unsavory's	unsavoury's
unshakable	unshakeable
unspecialized	unspecialised
unspecializedder	unspecialisedder
unspecializeddest	unspecialiseddest
untrammeled	untrammelled
untrammeledder	untrammelledder
untrammeleddest	untrammelleddest
updraft	updraught
updraft's	updraught's
updrafts	updraughts
urbanization	urbanisation
urbanization's	urbanisation's
urbanizations	urbanisations
urbanize	urbanise
urbanized	urbanised
urbanizes	urbanises
urbanizing	urbanising
uremia	uraemia
uremia's	uraemia's
uremias	uraemias
uremic	uraemic
utilizable	utilisable
utilizable's	utilisable's
utilizables	utilisables
utilization	utilisation
utilization's	utilisation's
utilizations	utilisations
utilize	utilise
utilized	utilised
utilizes	utilises
utilizing	utilising
valor	valour
valor's	valour's
valorization	valorisation
valorization's	valorisation's
valorizations	valorisations
valorize	valorise
valorized	valorised
valorizes	valorises
valorizing	valorising
valors	valours
vandalize	vandalise
vandalized	vandalised
vandalizes	vandalises
vandalizing	vandalising
vapor	vapour
vapor's	vapour's
vapored	vapoured
vaporing	vapouring
vaporing's	vapouring's
vaporings	vapourings
vaporization	vaporisation
vaporization's	vaporisation's
vaporizations	vaporisations
vaporize	vaporise
vaporized	vaporised
vaporizer	vaporiser
vaporizer's	vaporiser's
vaporizers	vaporisers
vaporizes	vaporises
vaporizing	vaporising
vapors	vapours
vaporware	vapourware
varicolored	varicoloured
varicolored's	varicoloured's
varicoloredder	varicolouredder
varicoloreddest	varicoloureddest
varicoloreds	varicoloureds
vasectomize	vasectomise
vasectomized	vasectomised
vasectomizing	vasectomising
ventriloquize	ventriloquise
ventriloquized	ventriloquised
ventriloquizes	ventriloquises
ventriloquizing	ventriloquising
verbalization	verbalisation
verbalization's	verbalisation's
verbalizations	verbalisations
verbalize	verbalise
verbalized	verbalised
verbalizer	verbaliser
verbalizer's	verbaliser's
verbalizers	verbalisers
verbalizes	verbalises
verbalizing	verbalising
victimization	victimisation
victimization's	victimisation's
victimizations	victimisations
victimize	victimise
victimized	victimised
victimizer	victimiser
victimizer's	victimiser's
victimizers	victimisers
victimizes	victimises
victimizing	victimising
victualed	victualled
victualer	victualler
victualer's	victualler's
victualers	victuallers
victualing	victualling
vigor	vigour
vigor's	vigour's
vigors	vigours
visualization	visualisation
visualization's	visualisation's
visualizations	visualisations
visualize	visualise
visualized	visualised
visualizes	visualises
visualizing	visualising
vitalization	vitalisation
vitalization's	vitalisation's
vitalizations	vitalisations
vitalize	vitalise
vitalized	vitalised
vitalizes	vitalises
vitalizing	vitalising
vitalizing's	vitalising's
vitalizings	vitalisings
vocalization	vocalisation
vocalization's	vocalisation's
vocalizations	vocalisations
vocalize	vocalise
vocalized	vocalised
vocalizes	vocalises
vocalizing	vocalising
volatilization	volatilisation
volatilization's	volatilisation's
volatilizations	volatilisations
volatilize	volatilise
volatilized	volatilised
volatilizes	volatilises
volatilizing	volatilising
vulcanization	vulcanisation
vulcanization's	vulcanisation's
vulcanizations	vulcanisations
vulcanize	vulcanise
vulcanized	vulcanised
vulcanizer	vulcaniser
vulcanizer's	vulcaniser's
vulcanizers	vulcanisers
vulcanizes	vulcanises
vulcanizing	vulcanising
vulgarization	vulgarisation
vulgarization's	vulgarisation's
vulgarizations	vulgarisations
vulgarize	vulgarise
vulgarized	vulgarised
vulgarizes	vulgarises
vulgarizing	vulgarising
watercolor	watercolour
watercolor's	watercolour's
watercolored	watercoloured
watercoloring	watercolouring
watercolorist	watercolourist
watercolorist's	watercolourist's
watercolorists	watercolourists
watercolors	watercolours
weaseled	weaselled
weaseling	weaselling
westernization	westernisation
westernization's	westernisation's
westernizations	westernisations
whir	whirr
whir's	whirr's
whirs	whirrs
whiskey	whisky
whiskey's	whisky's
whiskeys	whiskies
whiz	whizz
whiz's	whizz's
willful	wilful
willfuler	wilfuler
willfulest	wilfulest
willfullier	wilfullier
willfulliest	wilfulliest
willfully	wilfully
willfulness	wilfulness
willfulness's	wilfulness's
winterization	winterisation
winterization's	winterisation's
winterizations	winterisations
winterize	winterise
winterized	winterised
winterizes	winterises
winterizing	winterising
womanize	womanise
womanized	womanised
womanizer	womaniser
womanizer's	womaniser's
womanizers	womanisers
womanizes	womanises
womanizing	womanising
woolen	woollen
woolen's	woollen's
woolenner	woollenner
woolennest	woollennest
woolens	woollens
worshiped	worshipped
worshiper	worshipper
worshiper's	worshipper's
worshipers	worshippers
worshiping	worshipping
yodeled	yodelled
yodeler	yodeller
yodeler's	yodeller's
yodelers	yodellers
yodeling	yodelling
