# Derived from VarCon 2020.12.07 at crate-ci/typos commit 5e38bf262baaf477ca9f241b3a7cd3d277fd7df8.
# Includes unambiguous, verified spelling pairs through SCOWL level 70. Source and target are tab-separated.
abetter	abettor
unrealisable	unrealizable
unrealisable's	unrealizable's
unrealisables	unrealizables
unrealise	unrealize
unrealised	unrealized
unrealises	unrealizes
unrealising	unrealizing
unrealisings	unrealizings
unrecognisable	unrecognizable
unrecognisabler	unrecognizabler
unrecognisablest	unrecognizablest
unrecognisably	unrecognizably
unrecognised	unrecognized
unrivalled	unrivaled
unrivalledder	unrivaledder
unrivalleddest	unrivaleddest
unsavourier	unsavorier
unsavouries	unsavories
unsavouriest	unsavoriest
unsavouriness	unsavoriness
unsavouriness's	unsavoriness's
unsavourinesses	unsavorinesses
unsavoury	unsavory
unsavoury's	unsavory's
unshakeable	unshakable
unspecialised	unspecialized
unspecialisedder	unspecializedder
unspecialiseddest	unspecializeddest
untrammelled	untrammeled
untrammelledder	untrammeledder
untrammelleddest	untrammeleddest
updraught	updraft
updraught's	updraft's
updraughts	updrafts
uraemia	uremia
uraemia's	uremia's
uraemias	uremias
uraemic	uremic
urbanisation	urbanization
urbanisation's	urbanization's
urbanisations	urbanizations
urbanise	urbanize
urbanised	urbanized
urbanises	urbanizes
urbanising	urbanizing
utilisable	utilizable
utilisable's	utilizable's
utilisables	utilizables
utilisation	utilization
utilisation's	utilization's
utilisations	utilizations
utilise	utilize
utilised	utilized
utilises	utilizes
utilising	utilizing
valorisation	valorization
valorisation's	valorization's
valorisations	valorizations
valorise	valorize
valorised	valorized
valorises	valorizes
valorising	valorizing
valour	valor
valour's	valor's
valours	valors
vandalise	vandalize
vandalised	vandalized
vandalises	vandalizes
vandalising	vandalizing
vaporisation	vaporization
vaporisation's	vaporization's
vaporisations	vaporizations
vaporise	vaporize
vaporised	vaporized
vaporiser	vaporizer
vaporiser's	vaporizer's
vaporisers	vaporizers
vaporises	vaporizes
vaporising	vaporizing
vapour	vapor
vapour's	vapor's
vapoured	vapored
vapouring	vaporing
vapouring's	vaporing's
vapourings	vaporings
vapours	vapors
vapourware	vaporware
varicoloured	varicolored
varicoloured's	varicolored's
varicolouredder	varicoloredder
varicoloureddest	varicoloreddest
varicoloureds	varicoloreds
vasectomise	vasectomize
vasectomised	vasectomized
vasectomising	vasectomizing
ventriloquise	ventriloquize
ventriloquised	ventriloquized
ventriloquises	ventriloquizes
ventriloquising	ventriloquizing
verbalisation	verbalization
verbalisation's	verbalization's
verbalisations	verbalizations
verbalise	verbalize
verbalised	verbalized
verbaliser	verbalizer
verbaliser's	verbalizer's
verbalisers	verbalizers
verbalises	verbalizes
verbalising	verbalizing
victimisation	victimization
victimisation's	victimization's
victimisations	victimizations
victimise	victimize
victimised	victimized
victimiser	victimizer
victimiser's	victimizer's
victimisers	victimizers
victimises	victimizes
victimising	victimizing
victualled	victualed
victualler	victualer
victualler's	victualer's
victuallers	victualers
victualling	victualing
vigour	vigor
vigour's	vigor's
vigours	vigors
visualisation	visualization
visualisation's	visualization's
visualisations	visualizations
visualise	visualize
visualised	visualized
visualises	visualizes
visualising	visualizing
vitalisation	vitalization
vitalisation's	vitalization's
vitalisations	vitalizations
vitalise	vitalize
vitalised	vitalized
vitalises	vitalizes
vitalising	vitalizing
vitalising's	vitalizing's
vitalisings	vitalizings
vocalisation	vocalization
vocalisation's	vocalization's
vocalisations	vocalizations
vocalise	vocalize
vocalised	vocalized
vocalises	vocalizes
vocalising	vocalizing
volatilisation	volatilization
volatilisation's	volatilization's
volatilisations	volatilizations
volatilise	volatilize
volatilised	volatilized
volatilises	volatilizes
volatilising	volatilizing
vulcanisation	vulcanization
vulcanisation's	vulcanization's
vulcanisations	vulcanizations
vulcanise	vulcanize
vulcanised	vulcanized
vulcaniser	vulcanizer
vulcaniser's	vulcanizer's
vulcanisers	vulcanizers
vulcanises	vulcanizes
vulcanising	vulcanizing
vulgarisation	vulgarization
vulgarisation's	vulgarization's
vulgarisations	vulgarizations
vulgarise	vulgarize
vulgarised	vulgarized
vulgarises	vulgarizes
vulgarising	vulgarizing
watercolour	watercolor
watercolour's	watercolor's
watercoloured	watercolored
watercolouring	watercoloring
watercolourist	watercolorist
watercolourist's	watercolorist's
watercolourists	watercolorists
watercolours	watercolors
weaselled	weaseled
weaselling	weaseling
westernisation	westernization
westernisation's	westernization's
westernisations	westernizations
whirr	whir
whirr's	whir's
whirrs	whirs
whiskies	whiskeys
whisky	whiskey
whisky's	whiskey's
whizz	whiz
whizz's	whiz's
wilful	willful
wilfuler	willfuler
wilfulest	willfulest
wilfullier	willfullier
wilfulliest	willfulliest
wilfully	willfully
wilfulness	willfulness
wilfulness's	willfulness's
winterisation	winterization
winterisation's	winterization's
winterisations	winterizations
winterise	winterize
winterised	winterized
winterises	winterizes
winterising	winterizing
womanise	womanize
womanised	womanized
womaniser	womanizer
womaniser's	womanizer's
womanisers	womanizers
womanises	womanizes
womanising	womanizing
woollen	woolen
woollen's	woolen's
woollenner	woolenner
woollennest	woolennest
woollens	woolens
worshipped	worshiped
worshipper	worshiper
worshipper's	worshiper's
worshippers	worshipers
worshipping	worshiping
yodelled	yodeled
yodeller	yodeler
yodeller's	yodeler's
yodellers	yodelers
yodelling	yodeling
